"","Grant_Reference","Funding","Score_Category","round"
"1","ES/P010148/1","Funded","7-7.9","March2017"
"2","ES/P009638/1","Not funded","5-6.9","March2017"
"3","ES/P00895X/1","Not funded","5-6.9","March2017"
"4","ES/P009662/1","Not funded","*N/A","March2017"
"5","ES/P010571/1","Not funded","*N/A","March2017"
"6","ES/P008658/1","Not funded","*N/A","March2017"
"7","ES/P009514/1","Not funded","*N/A","March2017"
"8","ES/R000018/1","Not funded","*N/A","March2017"
"9","ES/R000131/1","Not funded","*N/A","March2017"
"10","ES/P011705/1","Funded","9-10","July2017"
"11","ES/R003254/1","Funded","8-8.9","July2017"
"12","ES/R003114/1","Funded","8-8.9","July2017"
"13","ES/R003424/1","Funded","8-8.9","July2017"
"14","ES/R003459/1","Funded","7-7.9","July2017"
"15","ES/P010628/1","Funded","7-7.9","July2017"
"16","ES/P010229/1","Funded","7-7.9","July2017"
"17","ES/P010296/1","Funded","7-7.9","July2017"
"18","ES/P011756/1","Funded","7-7.9","July2017"
"19","ES/R002983/1","Funded","7-7.9","July2017"
"20","ES/R003491/1","Not funded","5-6.9","July2017"
"21","ES/P010466/1","Not funded","5-6.9","July2017"
"22","ES/P010520/1","Not funded","5-6.9","July2017"
"23","ES/P010431/1","Not funded","5-6.9","July2017"
"24","ES/R003084/1","Not funded","5-6.9","July2017"
"25","ES/P010156/1","Not funded","5-6.9","July2017"
"26","ES/R002878/1","Not funded","5-6.9","July2017"
"27","ES/R002916/1","Not funded","5-6.9","July2017"
"28","ES/R003262/1","Not funded","*N/A","July2017"
"29","ES/R002940/1","Not funded","*N/A","July2017"
"30","ES/R003823/1","Not funded","*N/A","July2017"
"31","ES/R003505/1","Not funded","*N/A","July2017"
"32","ES/R004277/1","Not funded","*N/A","July2017"
"33","ES/R003793/1","Not funded","*N/A","July2017"
"34","ES/R003602/1","Not funded","*N/A","July2017"
"35","ES/R004269/1","Not funded","*N/A","July2017"
"36","ES/R004498/1","Not funded","*N/A","July2017"
"37","ES/R004048/1","Not funded","*N/A","July2017"
"38","ES/R003882/1","Not funded","*N/A","July2017"
"39","ES/R00336X/1","Not funded","*N/A","July2017"
"40","ES/P011640/1","Not funded","*N/A","July2017"
"41","ES/R003009/1","Not funded","*N/A","July2017"
"42","ES/R003432/1","Not funded","*N/A","July2017"
"43","ES/R003033/1","Not funded","*N/A","July2017"
"44","ES/R004358/1","Not funded","*N/A","July2017"
"45","ES/R003742/1","Not funded","*N/A","July2017"
"46","ES/R000255/1","Not funded","*N/A","July2017"
"47","ES/R005389/1","Not funded","*N/A","July2017"
"48","ES/R005370/1","Not funded","*N/A","July2017"
"49","ES/R006172/1","Not funded","*N/A","July2017"
"50","ES/R005443/1","Funded","9-10","Nov2017"
"51","ES/R004773/1","Funded","8-8.9","Nov2017"
"52","ES/R003572/1","Funded","8-8.9","Nov2017"
"53","ES/R005788/1","Funded","8-8.9","Nov2017"
"54","ES/R005893/1","Funded","8-8.9","Nov2017"
"55","ES/R005915/1","Funded","8-8.9","Nov2017"
"56","ES/R004293/1","Funded","8-8.9","Nov2017"
"57","ES/R004129/1","Funded","8-8.9","Nov2017"
"58","ES/R004137/1","Funded","8-8.9","Nov2017"
"59","ES/R004838/1","Funded","8-8.9","Nov2017"
"60","ES/R00580X/1","Funded","8-8.9","Nov2017"
"61","ES/R006032/1","Funded","8-8.9","Nov2017"
"62","ES/R004625/1","Funded","8-8.9","Nov2017"
"63","ES/R000158/1","Funded","8-8.9","Nov2017"
"64","ES/R005435/1","Funded","8-8.9","Nov2017"
"65","ES/R006059/1","Funded","8-8.9","Nov2017"
"66","ES/R004544/1","Not funded","7-7.9","Nov2017"
"67","ES/R004609/1","Not funded","7-7.9","Nov2017"
"68","ES/R005923/1","Not funded","7-7.9","Nov2017"
"69","ES/R004919/1","Not funded","7-7.9","Nov2017"
"70","ES/R004528/1","Not funded","7-7.9","Nov2017"
"71","ES/R005109/1","Not funded","7-7.9","Nov2017"
"72","ES/R003483/1","Not funded","7-7.9","Nov2017"
"73","ES/R004196/1","Not funded","7-7.9","Nov2017"
"74","ES/R004552/1","Not funded","7-7.9","Nov2017"
"75","ES/R004846/1","Not funded","7-7.9","Nov2017"
"76","ES/R005095/1","Not funded","7-7.9","Nov2017"
"77","ES/R005346/1","Not funded","7-7.9","Nov2017"
"78","ES/R006040/1","Not funded","7-7.9","Nov2017"
"79","ES/R004730/1","Not funded","7-7.9","Nov2017"
"80","ES/R005605/1","Not funded","7-7.9","Nov2017"
"81","ES/R004617/1","Not funded","5-6.9","Nov2017"
"82","ES/R005621/1","Not funded","5-6.9","Nov2017"
"83","ES/R004307/1","Not funded","5-6.9","Nov2017"
"84","ES/R005354/1","Not funded","5-6.9","Nov2017"
"85","ES/R00448X/1","Not funded","5-6.9","Nov2017"
"86","ES/R004439/1","Not funded","5-6.9","Nov2017"
"87","ES/R005125/1","Not funded","5-6.9","Nov2017"
"88","ES/R005338/1","Not funded","5-6.9","Nov2017"
"89","ES/R007330/1","Not funded","*N/A","Nov2017"
"90","ES/R006369/1","Not funded","*N/A","Nov2017"
"91","ES/R006210/1","Not funded","*N/A","Nov2017"
"92","ES/R00630X/1","Not funded","*N/A","Nov2017"
"93","ES/R006105/1","Not funded","*N/A","Nov2017"
"94","ES/R002894/1","Not funded","*N/A","Nov2017"
"95","ES/R006563/1","Not funded","*N/A","Nov2017"
"96","ES/R006075/1","Not funded","*N/A","Nov2017"
"97","ES/R004757/1","Not funded","*N/A","Nov2017"
"98","ES/R005249/1","Not funded","*N/A","Nov2017"
"99","ES/R006199/1","Not funded","*N/A","Nov2017"
"100","ES/R005206/1","Not funded","*N/A","Nov2017"
"101","ES/R004633/1","Not funded","*N/A","Nov2017"
"102","ES/R007365/1","Not funded","*N/A","Nov2017"
"103","ES/R00806X/1","Not funded","*N/A","Nov2017"
