"","Grant_Reference","Funding","Score_Category","round","url","country","University","department","city","value","startDate","endDate","title","abstract","impact","PI","Research Area_1","Research Area_2","Research Area_3","Research Area_4","Research Area_5","Research Area_6","Research Area_7","Research Area_8","Research Area_9"
"1","ES/P010148/1","Funded","7-7.9","March2017","https://gtr.ukri.org/projects?ref=ES%2FP010148%2F1","United Kingdom","Aston University","Aston Business School","Birmingham",205262,"2018-02-01","2021-01-31","Pathways towards Servitization: A trans-national study of Organisational Transformation","Manufacturing organisations in developed western economies are increasingly shifting from traditional product-based offerings towards service-oriented business models. Firms such as Rolls Royce, GE, Xerox and Siemens are remaining competitive by creating additional value to their customers through the services they provide, and taking a share of this value. Over the years, providing services embedded within products' offerings has gradually become a fundamental business constituent for manufacturing organisations. 

Understanding the organisational transformation required to operate in this way has been an enduring challenge to both researchers and practitioners, and only a few notable contributions address the topic. Some prominent scholars have set out the benefits of, and barriers to, undertaking the transformation , while others describe the state of being a 'servitized' manufacturer and the impact this delivers, but few really deal holistically with the dynamics of the process of transformation itself, or distinguish what is particular about servitization over general organisational change. Although there are significant literature and theoretical frameworks in the general field of organisational change, no models exist to explain the servitization transformation process.

This project addresses this gap by consolidating the servitization knowledge base from the perspective of organisational change. Our integrative approach in this project will complement our goal of conducting a broad and inclusive study of the servitization transformation, which leads to identifying the stages of transformation, the key factors and forces that influence such transformation, and the key tasks and decisions in each stage. The purpose of the project is, therefore, to document the transformation of a manufacturing organisation as it moves towards competing through advanced services. In order to do this, the following research questions will be addressed:

(i) What stages might an organisation expect to go through as it progresses towards servitization? What are the critical decisions and activities that occur in each stage? (Process)
(ii) What are the principal factors and forces that affect progression through these stages? (Context) 
(iii) How do these stages and forces interplay as a model to demonstrate pathways towards servitization? (Content)","In addition to the academic audiences outlined above, this research is expected to have a direct impact upon three separate non-academic groups, as well as the general public interested in manufacturing issues. 

The findings will have direct relevance, and provide strategic guidance, to the executives of those firms that are currently moving towards competing through advanced services and servitization. Product-focused manufacturing firms have realised that in a turbulent financial environment, servitization can certainly assist them in achieving a sustainable competitive advantage. However, due to the influence of different factors including organisational structure, customer demands and behaviour, market saturation, the triadic nature of service supply chains, and diffusion of innovation, the most challenging question is &quot;how should we transform?&quot;. By developing and proposing the pathways, actions and decision points that will lead them towards servitization, this project will greatly impact such firms. 

The development of the pathways will be informed by the established adopters of servitization, and the analysis of their transformation journey will, in turn, provide them with a more rationalised understanding of the ongoing process of servitization. These companies have followed emergent, organic strategies and now find themselves to be seen as exemplars of servitized firms. In all cases, they are continuing to evolve and develop their services strategies, and the systematic capturing of the stages that they have been through will assist them in revisiting some of the decisions and actions that have been taken, and improve the efficiency and effectiveness of their future plans and projects. 

Finally, the findings of the proposed research are likely to have practical implications for those parties helping both large and small firms to address their sustainability and scalability. Having surveyed 76 SMEs we identified that the principal barriers to their transformation towards servitization were financial and contractual complexities. Financial sector companies (e.g. banks) and legal firms have, in recent years, become much more interested in supporting these companies with servitization. This project will help these parties to understand what servitization is, how organisations approach it, and what stages organisations will go through. It will also help the companies to understand in which stage(s) of their transformation they most need the help from third parties such as banks and lawyers.

These impacts are expected to be delivered towards the identified groups through: (1) direct contacts with the case organisations throughout the study, (2) dissemination workshops, and (3) engagement and presentations in industry conferences and events.","Ali Ziaee Bigdeli","Management & Business Studies","Manufact. Business Strategy","Manufact. Enterprise Ops& Mgmt",NA,NA,NA,NA,NA,NA
"10","ES/P011705/1","Funded","9-10","July2017","https://gtr.ukri.org/projects?ref=ES%2FP011705%2F1","United Kingdom","Royal Holloway, University of London","Economics","Egham",233556,"2017-12-01","2020-11-30","Specification testing against general alternatives in models with interacting agents","Many problems in economics and other social sciences involve subjects that interact with one another. For example, one may be interested in studying spillovers and externalities in technology diffusion across firms and industries, or impacts of friendship networks on the educational outcomes of students. There has been a growing interest in the discipline of economics to account for such interdependence via explicit economic modelling. Interactions between agents arise naturally in most social and economic research that often influence decisions taken by governments and firms. Ignoring such interactions in empirical analysis when they are in fact present would lead to misleading findings and poor prediction accuracy. Recognising this has led to new developments in both theoretical modelling and statistical techniques. In particular, spatial econometrics, the field that develops methodological tools to study or allow for such interactions, has witnessed rapid advancements. 

While the idea of interdependence between economic agents is highly intuitive, quantitative modelling requires explicit mathematical formulations of such relationships, inevitably imbuing some degree of arbitrariness into any given analysis. Practitioners typically face uncertainty about many, if not all, aspects of model specification and the current absence of testing methodology to detect model misspecification undermines confidence in the reliability of subsequent econometric analysis. This project aims to produce much-needed testing procedures to assess correct specification of models, which is a crucial assumption made in theoretical econometric works to obtain validity of existing estimation and inferential methods. Such testing methods will be a major advancement to the field. 

We aim to establish solid theoretical foundation for a ground-breaking development of specification testing procedures in a spatial setting, and to produce user-friendly automated codes that implement our tests in popular software programs used by empirical researchers. To do so, we will rely on an existing work of PI, Co-I and P.C.B. Phillips, and extend its results to continue developing testing procedures in spatial models, which present significant challenges. Careful theoretical studies need to be undertaken to refine the tests to optimise the power properties. 

The main benefits of our research would be helping practitioners avoid inconsistent estimates and misleading conclusions arising from fitting misspecified models and also achieve more accurate forecasts of future outcomes. This is crucial as fitting different models to the same data could often lead to contrasting findings, hence selecting the right model is of paramount importance in empirical research. Our procedures will help practitioners choose among competing models and will have practical implications via improving the quality of econometric analysis and prediction on which policy recommendations and decisions taken by governments and the private sector are based. The applicability of spatial econometrics and our methodologies extends well beyond economics to other social sciences, such as regional science, urban planning, quantitative geography, environmental studies and mathematical social network (in fact, researchers from these disciples actively contribute to developments in spatial econometrics). These are fields that generate and foster active interdisciplinary research and have major policy impacts.

Our testing procedures can and should become a routine and integral part of any spatial econometric applications, as practitioners are inclined to test the critical assumption of correct specification that underpins the validity of their findings. To this end, the creation and dissemination of automated codes will play a critical role. Given the complexity of this task, the research assistance in coding we apply for as part of this grant is crucial for the success of the project","The main non-academic beneficiaries of this project will be economic analysts at government agencies, central banks, international organizations such as IMF and World Bank, and in private sector, for example those working on forecasts of house prices and housing demand at banks and building societies. These practitioners carry out empirical research to produce evidence-based policy assessment, forecast future economic variables and simulate contrasting policy outcomes based on insights into the real world gained from statistical analysis of data. Their works influence policy recommendations and decisions taken by governments and private sector. 
Spatial econometric techniques enable practitioners to incorporate possible interdependence between countries, regions, firms and individuals into their empirical analysis. There is a growing recognition of the need for such spatial modelling in wider research community outside academia, see e.g. ECB working papers by Ozyurt and coauthors (2014, 2015), IMF working papers Baldacci et al. (2011) and Silver and Graf (2014) and working papers of Millo and coauthors (2011, 2014) of Generali group, the third biggest insurance firm in the world. Failing to account for these interactions when they are in fact present would lead to misleading findings arising from biased/inconsistent estimates and poorer forecast performance. Ozyurt (2014) of ECB enumerates a large number of recent real-estate studies which &quot;show that the incorporation of the observed spatial relationship improves the accuracy of the predicted market values and time indicators&quot;. 
To date, theoretical justifications for estimation and inference procedures in spatial econometric models all rely crucially on the strong assumption that the model is correctly specified. Confidence in subsequent analysis is undermined by the lack of testing procedure to assess this key assumption. The present project fills this hole in the current set of available techniques. This will enable practitioners to make better-informed model specification, generate greater confidence in the validity of subsequent econometric analysis and improve precision of forecasts. 
For example, understanding of house price movement is enhanced by accounting for interdependence between houses within and across different neighbourhoods. While this idea is highly intuitive, formal modelling of such interaction requires the practitioner to choose mathematical forms of such relation and also how determinants of house price other than that of neighbouring units affect the outcome, which inevitably are subject to arbitrariness. The present project will produce the much-needed testing procedures to assess whether the model specification being used is acceptable in the light of data. Such testing is crucial in any application of spatial econometric techniques.
As with any emerging academic field, it takes time and resources for academic advancement to seep through to wider community. The leading initiatives for dissemination in this field are Spatial Econometric Association's (SEA) annual 4-week summer schools for practitioners and graduate students and its annual conference which attracts heavy participation from practitioners. We are already in touch with the SEA about our research and possible collaboration in future to effectively disseminate the project's output given its synergy with the existing methodology of inference and estimation. By joining forces with these exiting efforts, this project will contribute to the process via offering a key advancement to the field of overcoming one of its most severe current limitations. We therefore anticipate the project's impacts will long outlive its duration.","Jungyoon Lee","Economics","Econometrics","Economics","Financial economics",NA,NA,NA,NA,NA
"11","ES/R003254/1","Funded","8-8.9","July2017","https://gtr.ukri.org/projects?ref=ES%2FR003254%2F1","United Kingdom","University of Southampton","School of Social Sciences","Southampton",240365,"2018-01-01","2020-06-30","FloraGuard: Tacking the illegal trade in endangered plants","Over the last 60 years, commerce in exotic wild plants increased in Western countries (Sajeva et al 2007). Alongside the legal trade in plants, the profitability of the market also boosted illegal markets. Wild plant crimes have long been a focus of concern mainly in conservation science. In criminology, while the illegal trade in wild animals (and animal parts eg ivory) is receiving increasing attention, the illegal trade in plants has so far been under-investigated. However, wild plant trafficking threatens and destroys numerous species and important natural resources (Herbig &amp; Joubert 2006) and hinders the rule of law and security as profits are also used to finance other forms of trafficking (WWF 2016). The Internet has increased the illegal trade in wild plants, facilitating the encounter of supply and demand; no matter how highly specialised the market in certain wild plants, it is much easier to find potential buyers or sellers online than in the physical world (Lavorgna 2014a). There is consensus that the policing of such a criminal activity is still scarce and poorly resourced (Nurse 2011; Elliot 2012; Lavorgna 2014a; Lemieux 2014; Runhovde 2016). A major challenge is the fact that law enforcement agencies have limited training opportunities and lack of equipment and specific expertise to counter effectively this illegal trade (CITES2016). In this context, the question of how can we best control and prevent this criminal market needs to be addressed.

The proposed project combines innovative and cross-disciplinary ways of analysing online marketplaces for the illegal trade in endangered plants and analyses of existing policing practices to assist law enforcement in the detection and investigation of illegal trades of endangered plants. It focuses on the UK, which serves as a major transit and destination market for the European region (EU Commission2016).

The result of this research will be of significant importance for the work of law enforcement (eg national wildlife crime units, custom officers) in combating the illegal trade in endangered plants (in both its online and offline elements), disrupt criminal networks involved in such trade, and preserve biodiversity. In line with the latest WWF position paper (WWF 2016), the project fosters the improvement of awareness and technical capacity in investigation and prosecution services for wildlife crimes. The proposed approach will identify and disseminate best practice for other researchers and law enforcement officers with an interest in online crime markets and wildlife policing; in addition, it will improve our understanding of the online marketplaces and the offline market routes for the trafficking of endangered plants into Western countries, supporting new avenues of investigation. By integrating insights and expertise from criminology, computer sciences and conservation science, the proposed project has also important implications for demonstrating interdisciplinary methodological developments.

The research is structured around three cumulative work-packages (WP). WP1 comprises analysis of economic, social and geographical dynamics of a sample of online marketplaces active in the UK and associated with the illegal trade of endangered plants. WP2 focuses on the policing of this criminal activity by mapping current law enforcement practices and interventions, assessing their effectiveness in the light of the findings of WP1, and identifying law enforcement's needs for more effective policing. WP3 develops and tests a digital package of resources to assist law enforcement investigations into illegal trades of endangered plants in the UK. In doing so, it promotes engagement and effective communication with a non-academic audience (law enforcement, NGOs, botanic gardens, international institutions). The Royal Botanic Garden (Kew, the scientific authority for CITES plant trade in the UK) and the UK Border Force are formal non-academic partners to this project.","Who will benefit from this research?
Our approach integrates criminology, computer science and conservation science to improve our understanding of plant trafficking towards the UK and develop a package of digital resources to assist law enforcement in investigating the criminal market in endangered plants. This is of interest for national law enforcement bodies working to counter this illegal trade (e.g. the National Wildlife Crime Units within the UK Police Force), as well as for national and international policy makers and law enforcement agencies looking to review (traditional and cyberspace) policing approaches (e.g. the UK Partnership for Action Against Wildlife Crime, the Police Advisory board for England and Wales) and NGOs (e.g. TRAFFIC, WWF). 

How will they benefit from this research?
Our impact strategy aims to target UK enforcement agencies to raise awareness of the illegal trade in endangered plants and assist their policing strategies. Ultimately, &quot;FloraGuard&quot; will: 
1) Significantly improve the understanding of socio-economic and geo-social patterns in the online-facilitated trade of endangered plants. Currently this is an under-researched area of criminality. We expect &quot;FloraGuard&quot; to provide an up-to-date snapshot of the marketplace, how it operates and how policing interventions could make the most effective difference to disrupt this. 
2) Create a unique dataset of online illegal wildlife trade activity available today, which will be of immediate relevance for other researchers interested in this area.
3) Create and support a community of experts and practitioners crossing national, institutional and sector boundaries. The network is designed to outlast the duration of the project, providing a lasting impact for the countering of illegal plant trafficking in the UK.
4) Promote knowledge exchange and capacity-building for law enforcement. By sharing the digital tools, law enforcement agencies will be able to run analyses of the online aspects of the criminal market for themselves.

For 1) and 2), our methodology allows us to build an up-to-date dataset for selected online marketplaces for endangered plants. This approach has potential applications for other forms of online criminality (e.g. arms trafficking). The data collected will be released to authorised parties starting from month 15, so that law enforcement and cyber-security professionals in areas other than the illegal wildlife trade can build upon our work.

For 3) and 4), we will engage with Project Partners throughout the duration of the project, with their ideas and expertise shaping the project outcomes. This is important as we want to motivate our Partners to champion our policy paper and the digital package of resources in the medium term and see them shape future governmental policy. Bilateral meetings will discuss progress, methodological issues and preliminary results at key milestones (see Gantt Charts). Additional online meetings will take place to keep partners updated and get feedback. We will also establish a secure social network accessible from the project website for sharing updates and facilitate the direct involvement of partners in developing the digital resources.

The final part of each WP will focus on delivering policy level impact. We will use the expertise at PublicPolicyISouthampton to create &quot;science-to-policy&quot; outputs to be distributed via the project website and a final workshop in Southampton. We will also work with our Partners to provide briefing for governmental committees and charities including the Environment Agency, the Police Advisory Board for England and Wales and the British Wildlife Rehabilitation Council. At the final workshop, champions from each Partner will be identified to ensure our outputs are followed through to include our results in the next UK Border Agency strategy and the UK Government Commitment to Action on the illegal wildlife trade.","Stuart Middleton","Ecol, biodivers. & systematics","Info. & commun. Technol.","Sociology","Artificial Intelligence","Conservation Ecology","Criminology",NA,NA,NA
"12","ES/R003114/1","Funded","8-8.9","July2017","https://gtr.ukri.org/projects?ref=ES%2FR003114%2F1","United Kingdom","University College London","Epidemiology and Public Health","London",241460,"2018-01-01","2021-07-31","Parental Nonstandard Work Schedules in the UK: Implications for Children's and Parents' Health","Evening, night, and weekend work (hereafter referred to as nonstandard work) are common in the 24/7 economy, but does this create new opportunities or new pressures for combining work with family life? In the UK, nearly 25% of employed mothers and 35% of employed fathers have nonstandard schedules. A growing body of research has pointed to the adverse impact of these schedules on child and parental health. Given that work-related stress, depression and anxiety accounted for 11.7 million working days lost in the UK in 2015-16, we need to gather more evidence on the implications of parents' nonstandard work schedules on parents' health, family life, and children's health. This ground-breaking research is the first in the UK to make these significant contributions:
-An examination of the social and demographic profiles of mothers and fathers working nonstandard schedules
-Provide new evidence on the immediate and longitudinal consequences of parental nonstandard work schedules on children's health and development, family life, and parental mental and overall health
-An investigation of family characteristics that may explain the links between nonstandard work and children's and parents' health, thereby identifying potential policy levers
The vast majority of scholarship on nonstandard shifts has been done in the US context, arguably a country with the most limited family and childcare policies of any industrialized country. This proposed research program will fill the gaps by focusing on the UK context to investigate the implications of parental nonstandard employment on children's and parents' health. The project will profile the characteristics of mothers and fathers who work nonstandard work schedules, and examine different markers of health and development for children, and a range of markers of health and family life for parents. Factors in the family environment will be considered to investigate the channels through which nonstandard work schedules influence children and parents. Furthermore, the statistical techniques and data source will ascertain whether nonstandard work schedules actually cause differences in health between parents who work such schedules and parents who work 9-5 schedules. This type of research will be made possible by using rich, longitudinal data in the UK: the Millennium Cohort Study. This is an ideal dataset because it contains detailed information on family circumstances, parenting, and economic resources. 
The applicant will disseminate findings to a wide range of beneficiaries. Dissemination of the research via peer-reviewed publications in high impact journals and international conferences will be key. Opportunities to disseminate work through seminars will be pursued. In addition to an academic audience, the research will benefit employers, family and employment policy makers, parents, teachers, social workers, child care providers and others who seek to contribute to the continuing policy debate on the effects of parental employment on children's and parents' health. The research will have impact via a number of mechanisms: Collaborating with policy makers, charities, and think tanks, such as National Children's Bureau, DWP, PHE, Working Families, Women's Business Council, and The Business, Energy and Industrial Strategy Committee; Disseminate research findings and promote impact related activities through online platforms, such as WorkFlex blog at Working Families, Mumsnet, ToUChstone blog (operated by TUC), and The Conversation; Deliver evidence through podcasts and audio slide shows to forums that increase awareness of policy issues, such as The Lancet UK Policy Matters, the National Child and Maternal Health Intelligence Network, and platforms, such as Workingmums and The Work Foundation blog; share findings with campaigners, policy experts, and lobbyists through submissions to Parliamentary Office of Science and Technology, Parliamentary special advisors and research assistants.","The proposed research program, &quot;Parental Nonstandard Work Schedules in the UK: Implications for Children's and Parents' Health&quot; will be of great interest to a wide range of users spanning many sectors. The goal of this study is to successfully exchange knowledge and evidence on the influence of nonstandard shifts on children's health and development and parents' health with a wide range of individuals and groups-employers, unions, parents, schools, and policy makers. The proposed impact and communication activities will equip individuals in the UK and globally with information they need to strengthen the case for improving work conditions and for family friendly workplace reform, alongside ensuring that children and parents have optimal physical and mental health to participate fully in the workplace and society.

This work will appeal to a wide audience in the UK and internationally. Academic researchers within the broad fields of social science and population health, alongside disciplines of economics, child development, and sociology will benefit greatly from the evidence and methodological insights of the findings. Open-access peer-reviewed journal articles, conference presentations, and invited seminars will expose the research to a multidisciplinary audience of researchers who use population-level survey data. 

The project will engage voluntary, private, public and political stakeholders to increase and influence evidence based public policy making. Knowledge transfer and exchange with users will ensure co-production of research findings that are a benefit to organizations' impact on the health of the working age population, children and families, and wider society. These beneficiaries are:

-Government: Department of Health; The Business, Energy and Industrial Strategy Committee; Public Health England; Department for Work and Pensions; Local government. The findings on the social and health consequences of nonstandard shifts could be used to promote and strengthen family policies. 
-Charities and advocacy groups: National Children's Bureau; Child Poverty Action Group; The Work Foundation; Working Families; Workingmums.co.uk; Working with Men; Family and Parenting Institute; Fatherhood Institute. Project findings will benefit these groups in their engagement with employers and parents in discussions regarding the influence of nonstandard shifts on parents, children, and family life. 
-Educators and health care professionals: Teachers; social workers; nurses; doctors; childcare providers. Individuals who are at the frontline of supporting parents, children, and families who may be affected by nonstandard hours will benefit from the project findings so that interventions and services can support working families. 
-Businesses and unions: Findings on the positive or negative effects of nonstandard shifts will be of interest to employers and union members such that workplace reforms and supportive working environments are provided to ensure the care of all workers and their families. 
-Public and media: Schools; parents; children; communities; journalists; broadcasters; editors; media outlets. High quality media coverage with trusted outlets will translate directly to bringing the findings to the attention of the general public and to individuals who want to and are engaged in the debate on supporting working families and supporting social inclusion.","Afshin Zilanawala","Demography","Medical & health interface","Sociology","Demography (General)","Med Soc/Soc Health & Illness","Mental Health","Sociology","Stratification",NA
"13","ES/R003424/1","Funded","8-8.9","July2017","https://gtr.ukri.org/projects?ref=ES%2FR003424%2F1","United Kingdom","University of Bristol","Experimental Psychology","Bristol",232033,"2017-12-01","2019-12-31","Smoking kills, but you can quit: Threat and efficacy messaging to prevent tobacco smoking among adults and adolescents","Smoking remains the primary cause of preventable death and disease in the UK. Last year alone, 96,000 people in the UK died prematurely as a direct result of smoking and more than double this number of children took up smoking to take their place. As the 'average' smoker, smoking 12 cigarettes per day, will view their cigarette pack at least 4,300 times a year, the cigarette pack offers governments a unique tool to communicate the health impacts of smoking. The introduction of standardised (i.e., plain) packaging of cigarettes in the UK will mean that health warnings on packs are more noticeable. However, in order for this landmark legislation to be effective, these health warnings need to be sending out the right messages.

Although health warnings with strong, threatening images and messages are used on cigarette packs in over 100 countries, there is evidence that smokers may avoid them or react negatively towards them. Theory suggests that warnings are most likely to result in positive behaviour change if they combine threatening messages with those which increase a smoker's perceived ability to stop smoking and knowledge of the benefits of stopping (known as 'efficacy' messages). Despite this, there has been very little research on the impact of efficacy messages on tobacco warnings, no research on how adolescents respond to efficacy messages and almost no adoption of efficacy messages on tobacco warnings globally.

This project will address these key issues by examining responses to warnings with 'efficacy' and 'threatening' content and developing research on what constitutes effective warnings. This research is critically important given the potential for health warnings to educate individuals about the risks of smoking and encourage them to stop. It will apply a strong theoretical framework to examine the roles of efficacy and threatening content on warnings among both adults and adolescents. Given that two-thirds of smokers start before the age of 18, there is surprisingly little research on the impact of warnings among adolescents. My research will address this critical gap in the literature.

This project is timely and important, not only because of the recent introduction of standardised packaging of cigarettes. Britain's exit from the EU will provide the UK government with a unique opportunity to implement new warnings and strengthen tobacco control policies, as these will no longer be enforced by the EU-wide Tobacco Products Directive.

I will conduct online surveys among adults and adolescents smokers. These surveys will examine, for the first time, responses to threatening and efficacy warnings and their impact on attitudes towards smoking. I will then use the findings of these studies to conduct two 'mixed methods studies' among adults and adolescents to measure self-reported reactions, brain activation and smoking behaviour in response to health warnings.

My research uses a unique combination of innovative approaches combining subjective and objective techniques. This research is novel in a number of ways. First, it will provide objective and previously unexplored insights into differences in response to warnings among adults and adolescents. Second, it will develop our understanding of the mechanisms underlying responses to efficacy and threatening warnings. Finally, it will produce the first evidence demonstrating how neural and subjective responses to warnings are related and how these predict longer-term smoking behaviours and attitudes. This research will support the development of better, more effective warnings for tobacco products and provide a toolkit for the development of effective warnings for a range of unhealthy products, such as alcohol and unhealthy food, which can be used by academics and policymakers internationally. This project ultimately aims to reduce the rates of premature death and disease caused by smoking by providing evidence to support tobacco packaging policy change.","WHO WILL BENEFIT FROM THE RESEARCH? 
 
1. Public health organisations and campaigners intending to influence tobacco control policies both nationally and internationally (i.e. civil society). 
 
2. Health professionals including stop smoking advisers, doctors, nurses and other allied healthcare professionals who provide support to smokers planning to quit smoking. 
 
3. National and international policymakers making evidence-based policy decisions regarding tobacco control and in particular, tobacco labelling policies. 
 
4. The general public, including both smokers and non-smokers, in particular young people susceptible to starting to smoke. 
 
HOW WILL THEY BENEFIT FROM THIS RESEARCH? 
 
1. Public health organisations and campaigners 
 
The research I conduct will provide public health organisations and campaigners with an empirical evidence base which can be used to design effective tobacco health warning labels. This will be used to enact change at national and international policy levels, improving the efficacy of tobacco health warning labels, ultimately reducing the burden of morbidity and mortality caused by smoking. 
 
I have already established an important route for knowledge exchange with public health organisations by discussing my research plans with Anca Toma Friedlaender, Director of Communications and International Policy at the Smoke Free Partnership. This organisation promotes tobacco control advocacy and policy research at EU and national levels. My research plans have been informed by these discussions, to ensure that the research I conduct will be of use to this influential advocacy organisation. My research will provide cutting-edge empirically supported evidence to inform their discussions with policymakers regarding tobacco control policy. 
 
More broadly, my research will provide a framework for the framing for other smoking cessation interventions, including mass media campaigns and advice given to patients (i.e., the degree of inclusion of efficacy and threatening information). 
 
2. Health professionals 
 
Stop smoking advisers, doctors, nurses and other allied healthcare professionals rely on evidence to inform their practice and treatment of smokers. As described above, the research I conduct will inform guidance on how smoking cessation messages should be framed in order to encourage healthy behaviour change. 
 
3. National and international policymakers 
 
This research will help develop an evidence base that policymakers nationally and internationally can draw on to inform best practice tobacco control policy. My previous research in this field has been cited in policy documents in the UK and in the Australian High Court to support their decision to introduce standardised packaging of cigarettes. The European Commission's Tobacco Products Directive (TPD), a policy document which dictates EU tobacco policy for approximately the next 12 years also cites my research. 
 
My research will also be of particular interest to policymakers in any country wishing to strengthen their tobacco health warning labels, in particular the USA, which is yet to introduce pictorial health warnings on tobacco products and which has received considerable opposition to this policy by the tobacco industry which has argued that proposed pictorial warnings are not 'factual and uncontroversial'. My research will provide evidence to support the development of such warnings. 
 
4. The general public 
 
The research I conduct on the optimal framing of tobacco health warning labels can be used by the general public when encouraging friends and loved ones to stop smoking. More broadly, through the other beneficiaries of this research, the general public will benefit through improved tobacco health warnings both in the UK and internationally which will ultimately improve population health and wellbeing through increased smoking cessation and prevention of smoking uptake.","Olivia Maynard","Psychology","Social Policy","Health Psychology","Social Policy",NA,NA,NA,NA,NA
"14","ES/R003459/1","Funded","7-7.9","July2017","https://gtr.ukri.org/projects?ref=ES%2FR003459%2F1","United Kingdom","Birkbeck College","Psychological Sciences","London",243867,"2017-11-01","2020-10-31","The impact of threat to visual perception, attention, and cognitive control: A unified vigilance account","It is widely accepted that emotion and cognition interact closely, but the precise ways in which they do so are still controversial. There is evidence that experiencing threat or danger causes attention to become hyper-focused, and that the presence of an external threat such as a spider or snake causes a rapid spatial bias towards the source of this threat. However, highly selective attention requires active top-down control mechanisms that guide attention to particular objects and locations. The claim that threat causes our attention to become highly selective is inconsistent with evidence showing that negative emotions of threat, fear, and stress cause impairments in cognitive control, resulting in poor concentration and high distractibility in everyday life. If threat impairs this cognitive control, how can it also result in better control over attentional selectivity? The proposed research aims to resolve this conflict and provide an overarching theory of how threat, both experienced internally as an emotion and externally when seeing threatening objects, impacts our basic perception, attention, and cognitive control. 

The current project is based on a new unified vigilance theory, which claims that when we experience feelings of threat or danger, our mental processes adapt in a number of key ways. Firstly, because we feel in danger, we attempt to maximize our visual processing to try to detect an external threat or aggressor. Typically, our visual world contains many task-irrelevant objects (e.g., looking at a stop sign while driving, while trying to ignore the birds, the helicopter overhead, the billboards, etc) that have to be ignored (&quot;filtered out&quot;) so that only the information that is currently relevant is prioritized. When experiencing threat or danger, our incentives change towards processing as much as information as possible in order to detect any potential threat that may occur. As a result, our perceptual sensitivity is increased, so that more information is processed in better detail than usually. Furthermore, cognitive control is suppressed, thus inhibiting filtering mechanisms that typically act to prevent irrelevant information from being processed. As a result, our sensitivity improves - we are better able to process more information but, at the same time, we are much more prone to the negative effects of distraction by irrelevant information. This highlights the role of threat in cognition: our response to threat is adaptive when the likelihood of an external danger is real. However, when our feelings of threat and fear are not warranted, our response is maladaptive, resulting in an inability to concentrate and ignore distractions effectively. 

I aim to establish this theory of threat by manipulating internal and external emotion in studies examining perceptual and attentional abilities. Participants will be primed to experience acute feelings of threat, such as completing a task where they occasionally receive a mild electric shock or loud noise presented over headphones. Their ability to process multiple objects, and their ability to ignore salient distractions will be assessed, both in general situations with non-threatening objects and in situations where some objects are emotional (e.g., angry faces). This work will elucidate how threat impacts our daily activities, and both its positive and negative consequences, depending on context. Finally, a key aim of this research is to show how these basic mechanisms can help us understand the difficulties and symptoms experienced by individuals characterized by high levels of perceived threat and anxiety (e.g., anxiety disorders or general high anxious personality). Understanding how threat affects our perception, attention, and cognitive control can inform improved therapeutic interventions designed to treat individuals whose high levels of fear and anxiety have led to ingrained maladaptive responses that impair their daily life.","The proposed research primarily involves basic psychological and neuroscientific research into how the experience of threat (both internally and externally) influences our perceptual and attentional abilities in relation to top-down cognitive control. Thus, as outlined within the academic beneficiaries section, primary beneficiaries are psychologists, cognitive neuroscientists, and neuroscientists with interests in the areas of visual perception, selective attention, cognitive control, emotion-cognition interactions, as well as individual differences in affective traits on these processes. These individuals will benefit from contribution to the understanding of these research domains (see Academic Beneficiaries section). 

The research also has practical implications to many areas. Firstly, evidence of how the experience of threat influences psychological function is of high relevance to clinicians working with individuals suffering from affective disorders such as generalised anxiety disorder or phobias. Such benefits include the development of therapeutic interventions that take into account evidence of how threat influences visual processing and attention, which directly relate to hallmark symptoms of anxiety disorders (e.g., attentional biases to threat). Treatment strategies involving directly targeting aspects of attention in anxious individuals, such as spatial focus or improving attentional selectivity in relation to cognitive control training, would be two examples of how these individuals could benefit from the proposed research. In addition, the proposed work would also have practical implications to other stakeholders, from understanding how threat and fear can influence novice learner drivers' attention and distractibility, to soldiers requiring focused attention or efficient visual detection skills in high stress war-zone situations, sportsmen interested in combating anxiety's influence to distraction in competitive scenarios, and to advertisers and marketers interested in how emotional states or the presentation of emotion-laden stimuli can influence where individuals look and what information they have difficulty ignoring. Please see the &quot;pathways to impact&quot; document for details on how these potential stakeholders will be reached.","Nick Berggren","Psychology","Cognitive Psychology","Experimental Psychology",NA,NA,NA,NA,NA,NA
