gender,age_group,country_work,employ_type,hierarchy,full_part_time,hours_per_week,appreciate_org_values,insecure_in_job,like_job,can_raise_issues,views_ignored,colleagues_respect_you,effective_at_job,lack_interest_in_work,motivated_at_work,positive_impact_on_world,like_colleagues,achieving_potential,wish_to_leave_job,bursts_of_positive_emotion,trust_vision_of_org_leaders,stakeholders_give_positive_feedback,control_over_daily_activities,fair_culture,efficiently_get_things_done,job_fit_initial_expectations,proud_of_org,resilience,boss_respects_you,trust_in_org,doing_something_worthwhile,sense_of_getting_things_done,recommend_org_to_friend,achievements_recognized,love_job,life_satisfaction,use_skills,like_phys_work_environment,job_satisfaction,dislike_challenges,use_strengths,job_fits_with_career_plans,importance_of_pay,learning_skills_knowledge,help_colleagues,problems_achieving_work_goals,successful_in_most_aspects_of_career,effective_on_different_tasks,difficulty_overcoming_challenges,do_things_better_than_others
female,31-40,South Africa,employee,2,full-time,40,5,2,3,4,2,5,5,6,2,1,4,4,6,6,4,4,4,4,5,2,3,5,6,4,1,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,31-40,UK,employee,NA,full-time,40,3,2,4,2,5,5,7,6,2,5,6,3,7,5,4,2,3,2,7,3,2,6,5,2,4,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,41-50,South Africa,employee,NA,full-time,50,5,2,6,5,4,6,5,3,5,7,7,5,1,4,5,5,5,7,4,5,5,4,5,5,6,4,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,41-50,NA,business owner,7,full-time,127,7,2,6,7,1,6,7,2,6,5,6,4,1,5,NA,6,6,6,5,6,7,5,6,7,5,5,6,2,5,5,6,5,3,1,6,6,1,7,4,3,6,7,2,7
male,31-40,Netherlands,employee,6,full-time,36,2,2,5,6,2,6,5,3,5,5,5,2,2,4,2,3,3,2,6,5,3,5,5,2,6,5,2,3,5,6,6,4,6,4,6,6,5,7,4,5,6,6,6,5
female,51-60,South Africa,employee,5,full-time,40,3,3,5,4,5,5,6,4,4,4,4,3,2,7,3,3,3,6,6,6,6,6,6,4,6,6,7,4,6,5,4,5,5,1,6,7,7,7,7,2,6,7,1,4
male,41-50,Switzerland,employee,NA,full-time,60,6,6,7,6,2,6,6,1,6,6,6,6,2,6,6,6,5,6,4,3,7,6,7,6,6,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,31-40,UK,employee,NA,full-time,37,7,1,5,5,3,5,6,5,3,6,4,1,6,2,6,5,6,6,6,4,5,1,5,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,31-40,UK,employee,4,full-time,50,7,1,5,6,1,7,6,5,5,3,6,6,5,2,5,6,6,6,6,6,6,6,7,6,3,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,31-40,NA,employee,4,full-time,106,4,2,5,2,4,5,6,4,4,3,7,2,5,4,6,6,6,5,6,3,5,6,5,4,4,6,3,3,3,7,4,4,2,1,3,5,2,7,7,2,5,6,1,5
female,41-50,UAE,employee,NA,full-time,62,7,7,7,7,1,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,31-40,Netherlands,employee,6,full-time,40,6,2,3,6,5,6,6,2,5,5,6,3,5,2,5,3,6,6,6,5,6,7,6,6,4,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,31-40,USA,employee,NA,full-time,40,5,2,6,6,4,5,6,3,5,3,6,5,2,5,6,3,4,5,6,6,6,5,6,5,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,31-40,UK,employee,NA,full-time,35,5,3,4,5,2,4,5,5,4,5,4,2,6,3,5,4,4,4,5,4,5,5,5,5,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,31-40,NA,employee,1,full-time,106,3,6,3,5,5,5,5,5,3,2,5,1,7,2,1,2,4,3,5,3,5,5,5,4,3,6,4,3,3,3,5,5,3,5,5,1,1,7,7,5,3,5,3,5
male,31-40,NA,employee,3,full-time,100,2,6,2,1,6,2,6,6,4,3,3,2,7,4,2,2,3,2,5,2,1,5,2,1,3,4,1,7,1,3,2,5,1,1,2,2,3,7,6,5,3,6,2,6
male,51-60,Australia,employee,4,full-time,38,6,2,4,5,4,5,5,2,5,4,5,3,6,2,4,4,6,2,5,4,4,5,4,4,5,4,4,4,3,4,6,3,4,1,5,4,6,6,5,3,5,5,3,4
female,41-50,Australia,business owner,NA,full-time,40,7,3,6,5,4,6,5,2,5,6,6,6,2,3,6,5,5,6,5,5,6,3,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,21-30,South Africa,employee,4,full-time,50,7,5,6,5,5,5,4,1,6,3,5,3,2,5,7,4,3,6,3,5,7,6,6,7,6,4,7,5,6,5,5,6,5,1,5,4,5,7,6,6,3,3,5,5
male,41-50,Saudi Arabia,employee,NA,full-time,46,5,1,5,6,3,6,7,2,6,7,6,3,5,2,4,2,2,4,7,5,5,5,5,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,41-50,NA,employee,4,part-time,21,5,2,5,6,2,5,6,2,5,5,5,2,2,3,5,5,5,6,4,4,5,5,7,5,6,5,5,2,5,6,5,4,5,2,5,7,5,7,7,2,6,5,3,5
female,51-60,South Africa,self-employed,8,part-time,30,7,2,6,7,1,6,6,1,6,5,6,4,1,7,NA,7,7,6,5,6,6,6,NA,7,6,5,6,7,6,5,5,6,5,2,6,6,5,7,7,2,6,6,2,7
female,21-30,UK,employee,6,full-time,36,2,2,5,3,5,6,6,5,4,4,4,4,5,2,2,2,7,3,6,6,2,5,6,2,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,NA,NA,NA,NA,NA,106,6,2,5,6,5,5,5,5,6,5,3,6,6,2,3,4,6,6,6,4,4,5,5,4,4,5,5,5,4,3,4,5,3,2,5,3,6,2,2,2,2,2,2,6
male,31-40,NA,employee,5,full-time,81,6,3,6,5,3,2,5,5,5,5,3,2,7,5,6,3,5,4,5,6,6,5,3,5,5,5,5,2,5,2,5,5,5,5,4,5,2,6,3,5,5,5,3,5
male,51-60,Mexico,employee,6,full-time,40,7,1,7,7,2,7,7,1,2,7,7,5,7,7,6,4,4,4,5,7,6,6,7,6,7,6,7,4,7,7,6,6,7,1,6,1,7,7,6,3,6,6,2,4
male,31-40,NA,employee,3,full-time,106,6,2,4,6,3,5,5,4,5,3,4,1,4,7,4,6,6,5,6,6,6,7,6,4,5,6,7,5,4,3,6,6,4,2,3,5,1,7,7,7,5,6,1,6
female,21-30,UK,employee,2,full-time,48,6,3,4,4,4,4,5,1,6,3,6,3,2,5,7,5,6,6,6,6,7,2,6,6,6,7,6,6,5,4,3,5,5,2,5,6,5,7,6,2,5,6,2,4
male,31-40,USA,employee,4,full-time,40,3,1,3,6,4,6,7,6,4,4,5,3,7,3,1,5,7,3,5,5,3,5,6,3,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,41-50,NA,employee,5,full-time,127,6,6,6,7,2,4,6,2,6,5,5,7,1,6,6,6,6,6,5,6,6,6,6,6,6,6,7,2,6,7,6,5,7,1,6,7,3,7,6,5,6,6,3,4
