,ope,con,ext,agr,neu,item_level,blocks,gender,birthday,age,relationship_status,interested_in,mf_relationship,mf_dating,mf_random,mf_friendship,mf_whatever,mf_networking,locale,network_size,timezone
1,4.7,2.85,3,3.5,4.2,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
2,4,2.75,2.25,3.75,3,1,20,male,28/05/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,en_US,31,-5
3,4.4,2.4,3.68,4.3,3.45,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
4,3.95,2.9,3.35,3.15,3.1,1,100,male,,NA,2,2,NA,NA,NA,NA,NA,NA,en_US,258,-6
5,3.6,4.45,3.8,3.4,3.4,1,100,female,14/11/1964,48,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,10,8
6,4.65,4.3,2.55,3.35,3.45,1,336,female,29/05/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_GB,242,-5
7,3.95,3,2.75,3.5,3.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
8,4.14,3.93,2.5,2.57,3.5,1,70,female,13/03/1989,23,NA,1,NA,NA,NA,1,NA,NA,en_US,360,7
9,4.3,2.8,4.15,3.7,2.95,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
10,4.75,2.5,3.9,4.45,2.85,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,1
11,2.3,3.65,2.63,2.9,3.85,1,100,female,20/09/1987,25,2,NA,NA,NA,NA,NA,NA,NA,en_US,48,-7
12,4.15,4,2.6,3.7,2.8,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
13,4.95,2.8,2.65,4.5,2.5,1,336,female,10/08/1984,28,1,1,NA,NA,NA,NA,NA,NA,en_US,52,-7
14,4.95,2.8,2.65,4.5,2.5,1,336,female,10/08/1984,28,1,1,NA,NA,NA,NA,NA,NA,en_US,52,-7
15,4.35,3.5,3.5,3.7,2.75,1,100,male,24/07/1992,20,2,NA,NA,NA,NA,NA,NA,NA,en_US,142,-7
16,4.1,3.5,3,3.65,2.15,1,100,female,,NA,NA,1,NA,NA,NA,NA,NA,NA,en_US,382,-5
17,4.8,3.55,4.4,3.25,2.2,1,100,male,31/08/1909,103,1,2,NA,NA,NA,NA,NA,NA,sv_SE,140,2
18,4.25,2.65,2.85,2.85,3.5,1,336,female,,NA,5,3,NA,NA,NA,NA,NA,NA,en_US,65,11
19,3.5,2.75,5,4.5,2.25,1,20,female,26/06/1974,38,1,NA,NA,NA,NA,NA,NA,NA,en_US,272,-4
20,4.25,4.35,4.35,3.8,2.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
21,4,4,4.5,3.75,1.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
22,3.45,3.05,2.1,4.55,1.75,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-6
23,4.95,3.65,3.1,4.8,3.6,1,336,male,16/04/1992,20,1,3,NA,NA,NA,NA,NA,NA,en_GB,14,0
24,3.8,2.9,1.85,2.2,3.7,1,100,male,21/09/1994,18,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,123,1
25,4.4,2.75,2.3,4,2.65,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,-7
26,4.75,4.1,3.45,2.65,1.2,1,336,male,22/08/1991,21,1,2,NA,NA,NA,NA,NA,NA,en_US,4,-8
27,3.8,4.1,2.75,3.1,2.9,1,100,female,10/07/1972,40,3,NA,NA,NA,NA,NA,NA,NA,en_US,9,-6
28,4.2,3,2.15,4.1,3.85,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
29,4.25,3.55,2.83,3.5,2.58,1,60,male,30/03/1991,21,2,2,NA,NA,NA,NA,NA,NA,en_GB,59,1
30,3.15,4.8,3.25,4.2,1.65,1,100,male,18/07/1992,20,1,2,NA,NA,NA,NA,NA,NA,en_GB,64,1
31,3.3,3.3,2.85,4.53,3.35,1,100,female,09/02/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_US,137,-5
32,4.65,4.55,4.85,4.25,1.1,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
33,4.35,4.2,3.35,3.3,2.6,1,100,male,09/10/1990,22,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
34,4.55,3.22,2.35,2.55,2.95,1,100,male,08/09/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,40,-5
35,5,4,3.5,4,3.25,1,20,female,17/08/1952,60,1,NA,NA,NA,NA,NA,NA,NA,en_US,12,-7
36,3.2,1.53,1.68,2.35,3.8,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,1067,NA
37,4.4,4.15,3.68,4.6,2.1,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
38,4.35,4.3,2.85,2.9,2.7,1,100,female,10/08/1987,25,1,3,NA,NA,NA,NA,NA,NA,,151,-5
39,3.4,3.45,3.35,3.3,3.25,1,100,female,09/07/1986,26,1,NA,NA,NA,NA,NA,NA,NA,en_US,78,-7
40,4,4.45,2.5,2.8,1.15,1,336,male,03/04/1986,26,5,2,NA,NA,NA,NA,NA,NA,en_GB,NA,11
41,4.47,2.8,3.2,2.7,3.6,1,100,male,,NA,3,NA,NA,NA,NA,NA,NA,NA,en_GB,125,0
42,4.35,3.8,3.15,3.75,2.15,1,100,male,28/12/1987,25,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,30,3
43,4.7,3.7,3.05,2.11,4.4,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,de_DE,NA,NA
44,4.45,2.9,2.3,3.2,3.55,1,100,female,19/08/1995,17,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,-4
45,4.35,3.3,2.25,3.1,4,1,100,male,15/09/1990,22,1,NA,NA,NA,NA,NA,NA,NA,en_US,88,-5
46,3.85,3.95,2.3,3.25,3.15,1,100,male,03/07/1978,34,3,NA,NA,NA,NA,NA,NA,NA,en_US,10,2
47,4.45,3.65,2.85,3,3.15,1,336,female,,NA,3,NA,NA,NA,NA,NA,NA,NA,en_US,41,-8
48,3.9,2.95,1.55,3.8,2.75,1,336,female,06/09/1990,22,NA,NA,NA,NA,NA,NA,NA,NA,en_US,19,-5
49,3.15,2.53,1.8,3.2,3.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,72,10
